Repeat,Rank,Feature,MRMRScore
4,92,115,0.0114973227835774
4,93,23,0.0114018794174563
4,94,86,0.0113268553103779
4,95,55,0.0111653171191553
4,96,29,0.0111653171191553
4,97,43,0.0111408538762416
4,98,89,0.0109883011798459
4,99,73,0.0109721564334662
4,100,117,0.0109721564334662
4,101,102,0.01083098522504
4,102,129,0.010608832840746
4,103,124,0.0104710895360376
4,104,85,0.0104132879393214
4,105,108,0.0104132879393214
4,106,82,0.0102500995524985
4,107,126,0.0101841108077397
4,108,130,0.00965877098679229
4,109,71,0.0096094455020373
4,110,103,0.00916230902079615
4,111,119,0.00913078778154416
4,112,104,0.00854943059174177
4,113,118,0.00767579066579051
4,114,114,0.00714515662820704
4,115,78,0.00707568799695126
4,116,109,0.00612795487831276
4,117,64,0.00609163109520111
4,118,125,0.00560206271317601
4,119,90,0.00499967308982244
4,120,79,0.00471427471982702
4,121,65,0.00450895879143895
4,122,54,0.00375009199003446
4,123,84,0.00178163250277992
4,124,92,3.23671606008484e-16
4,125,87,3.23671606008484e-16
4,126,110,0
4,127,111,0
4,128,112,0
4,129,120,0
4,130,121,0
4,131,131,0
5,1,40,1.36221598828653
5,2,106,0.664904603460575
5,3,62,0.645654475961356
5,4,42,0.382611189715414
5,5,92,0.0287191926041355
5,6,96,0.0287191926041355
5,7,24,0.0231112901054132
5,8,74,0.0231112901054132
5,9,45,0.0204943800179759
5,10,75,0.0180195145935782
5,11,44,0.0169379794109767
5,12,60,0.0166865785356164
5,13,21,0.0149801346899149
5,14,30,0.0149801346899149
5,15,81,0.0142162602279758
5,16,107,0.0129558723284014
5,17,34,0.0127904083939772
5,18,76,0.0119754349300133
5,19,13,0.0113263184472797
5,20,127,0.0111796699426
5,21,5,0.0111523742113973
5,22,67,0.0111523742113973
5,23,22,0.0107925265356334
5,24,105,0.00979633745692128
5,25,17,0.00958700778033173
5,26,68,0.00869060594114398
5,27,49,0.0086644700967309
5,28,10,0.00834213537145631
5,29,94,0.00832927097753909
5,30,61,0.00794211361736447
5,31,51,0.00766132987730573
5,32,27,0.00760545992638161
5,33,99,0.00713017573593695
5,34,26,0.00693809005522025
5,35,88,0.00692704286114382
5,36,11,0.00673034952067073
5,37,58,0.00648507142104742
5,38,15,0.00622970052757693
5,39,28,0.00593667532169609
5,40,18,0.00578920254546
5,41,128,0.00569305134872843
5,42,72,0.00565201381124237
5,43,73,0.00534786439792643
5,44,59,0.00534786439792643
5,45,32,0.00534786439792643
5,46,7,0.00523502005375077
5,47,77,0.00512062723319183
5,48,69,0.00492198764258338
5,49,20,0.00483889424940988
5,50,41,0.00470166008674164
5,51,80,0.00460913611482312
5,52,8,0.0045764101132655
5,53,6,0.00457042086440781
5,54,33,0.00457042086440781
5,55,46,0.00440460565307404
5,56,2,0.00433900872216042
5,57,66,0.00427134250957152
5,58,1,0.00411881847488614
5,59,63,0.0040910741731029
5,60,48,0.0040692143022143
5,61,12,0.00403483387347281
5,62,19,0.00400259917486505
5,63,36,0.00400243311515451
5,64,98,0.00399484115155
5,65,47,0.00380748695282021
5,66,122,0.00378862456933315
5,67,4,0.0037271408479012
5,68,50,0.00372416466030034
5,69,14,0.00371751162962858
5,70,31,0.00371252178018663
5,71,116,0.00355513857232105
5,72,35,0.0035096238337443
